               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.016211,           0.0093004,           0.0054664,             0.89623,              0.9089,             0.92092,             0.82937,            0.011451,           0.0048958,           0.0020958,           0.0048215,           0.0048215,           0.0048215
                  36,            0.015565,           0.0093153,           0.0049688,             0.90943,             0.92249,             0.92582,             0.84235,             0.01161,           0.0047934,           0.0020978,           0.0046692,           0.0046692,           0.0046692
                  37,            0.015277,            0.008957,           0.0047474,              0.9014,             0.91144,              0.9256,             0.84603,             0.01123,            0.004637,           0.0020463,           0.0045169,           0.0045169,           0.0045169
                  38,            0.014755,           0.0089911,           0.0049985,             0.91731,              0.9413,             0.93543,             0.84531,            0.010666,           0.0048088,           0.0023195,           0.0043646,           0.0043646,           0.0043646
                  39,              0.0147,           0.0089023,           0.0044992,             0.92671,             0.91187,             0.91872,             0.83397,            0.010918,           0.0049578,            0.001791,           0.0042123,           0.0042123,           0.0042123
                  40,            0.014257,           0.0089581,           0.0046251,             0.94134,             0.91237,             0.92549,             0.84861,            0.010815,           0.0047284,           0.0019923,             0.00406,             0.00406,             0.00406
                  41,            0.013709,           0.0084344,           0.0044071,             0.94626,             0.91249,             0.92843,             0.85187,            0.010484,           0.0045142,           0.0019799,           0.0039077,           0.0039077,           0.0039077
                  42,            0.013765,            0.008729,           0.0049489,             0.91027,             0.90414,             0.92266,             0.85239,            0.010086,           0.0046243,           0.0019051,           0.0037554,           0.0037554,           0.0037554
                  43,            0.013477,           0.0087199,           0.0047871,             0.93703,             0.90617,             0.91992,             0.85597,           0.0099901,           0.0043465,           0.0016127,           0.0036031,           0.0036031,           0.0036031
                  44,            0.012749,            0.008566,           0.0051332,             0.92395,             0.91026,             0.92698,             0.86248,           0.0093584,           0.0046026,           0.0015783,           0.0034508,           0.0034508,           0.0034508
                  45,            0.013003,           0.0082754,           0.0052043,             0.95791,             0.90379,             0.93321,             0.87134,           0.0096385,           0.0043065,           0.0015776,           0.0032985,           0.0032985,           0.0032985
                  46,            0.012748,           0.0082513,           0.0049092,             0.92575,             0.90397,             0.92366,             0.86926,           0.0093751,           0.0044407,           0.0014935,           0.0031462,           0.0031462,           0.0031462
                  47,            0.012394,           0.0083643,           0.0044785,             0.88879,             0.93808,              0.9336,             0.87537,           0.0092817,           0.0044476,           0.0013973,           0.0029938,           0.0029938,           0.0029938
                  48,            0.012417,           0.0079467,           0.0045261,             0.91369,             0.91313,             0.91604,             0.86175,           0.0093911,           0.0045111,           0.0013935,           0.0028415,           0.0028415,           0.0028415
                  49,            0.012436,            0.008509,           0.0044975,             0.91918,             0.91208,             0.92073,             0.85786,            0.009569,           0.0047199,           0.0019813,           0.0026892,           0.0026892,           0.0026892
                  50,            0.012057,            0.007819,            0.004042,              0.9303,             0.91187,             0.92214,             0.87088,           0.0090512,           0.0043856,           0.0018189,           0.0025369,           0.0025369,           0.0025369
                  51,            0.011295,            0.007599,           0.0037217,             0.94318,             0.91452,             0.93191,              0.8691,           0.0091253,           0.0044557,           0.0013113,           0.0023846,           0.0023846,           0.0023846
                  52,            0.011634,           0.0077379,           0.0035276,             0.90763,             0.94565,             0.93168,             0.87872,           0.0093143,           0.0042538,            0.001297,           0.0022323,           0.0022323,           0.0022323
                  53,            0.011003,           0.0078963,           0.0032598,             0.94259,              0.9101,             0.93332,             0.87341,           0.0091187,            0.004323,           0.0014112,             0.00208,             0.00208,             0.00208
                  54,            0.010651,            0.007563,           0.0031491,             0.93671,             0.93152,             0.93951,             0.88689,           0.0086113,           0.0042204,           0.0013041,           0.0019277,           0.0019277,           0.0019277
                  55,            0.010298,           0.0073778,           0.0032041,             0.94885,             0.93715,             0.94076,             0.88443,           0.0088343,           0.0043591,            0.001257,           0.0017754,           0.0017754,           0.0017754
                  56,            0.010342,           0.0070547,           0.0034189,             0.93005,             0.93794,             0.93332,             0.87871,           0.0086167,           0.0044678,            0.001331,           0.0016231,           0.0016231,           0.0016231
                  57,            0.010004,           0.0072101,           0.0029868,             0.94114,             0.93849,             0.94238,             0.89058,            0.008365,           0.0043647,           0.0012654,           0.0014708,           0.0014708,           0.0014708
                  58,           0.0096831,           0.0068754,           0.0032184,             0.93889,             0.92976,             0.94049,             0.88755,           0.0084008,           0.0042406,           0.0011896,           0.0013185,           0.0013185,           0.0013185
                  59,           0.0090819,           0.0068869,           0.0026762,             0.95347,             0.94341,             0.94327,             0.88414,           0.0084078,           0.0044856,           0.0010321,           0.0011662,           0.0011662,           0.0011662
                  60,           0.0090963,           0.0068134,           0.0024415,             0.93371,             0.94051,             0.94667,             0.89179,           0.0081965,           0.0042945,          0.00099196,           0.0010138,           0.0010138,           0.0010138
                  61,           0.0088969,           0.0068373,           0.0027531,             0.94225,             0.94156,             0.94311,             0.89524,           0.0080832,           0.0042282,           0.0010064,          0.00086154,          0.00086154,          0.00086154
                  62,           0.0094397,           0.0067294,            0.003346,             0.94561,             0.94095,             0.94266,             0.89216,           0.0080547,           0.0043205,          0.00094557,          0.00070923,          0.00070923,          0.00070923
                  63,           0.0084298,           0.0067047,           0.0021649,             0.94436,             0.94076,             0.94356,             0.89085,           0.0079173,           0.0042625,          0.00092409,          0.00055692,          0.00055692,          0.00055692
                  64,           0.0086671,           0.0064003,            0.002552,             0.94151,             0.93908,             0.94385,             0.89361,           0.0078523,           0.0041059,          0.00090587,          0.00040462,          0.00040462,          0.00040462
